                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3563,                 1.9015,                 1.3907,                0.72446,                0.67302,                0.71273,                  0.447,                 1.1746,                 1.3458,                 1.2626,             0.00047507,             0.00047507,             0.00047507
                      2,                  1.309,                    1.3,                 1.3576,                0.72673,                0.75599,                0.78102,                0.46709,                 1.2792,                 1.0649,                 1.3217,             0.00094198,             0.00094198,             0.00094198
                      3,                 1.2877,                 1.1645,                 1.3611,                0.77338,                0.76863,                0.79407,                0.52283,                 1.1007,                0.93805,                 1.2489,              0.0013995,              0.0013995,              0.0013995
                      4,                 1.2725,                 1.0978,                 1.3561,                0.74325,                0.76758,                0.78292,                0.53329,                 1.0851,                0.92658,                 1.2404,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2306,                 1.0391,                 1.3363,                0.81509,                0.80128,                0.83973,                0.57492,                 1.0655,                0.82255,                 1.2025,              0.0013866,              0.0013866,              0.0013866
                      6,                  1.209,                0.98441,                 1.3189,                0.77967,                0.79857,                0.82738,                0.58755,                0.99138,                0.74176,                 1.1776,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.1693,                0.94395,                 1.2935,                 0.7958,                0.83303,                0.85012,                0.61501,                0.97381,                0.74733,                 1.1556,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.1671,                0.92083,                 1.2913,                0.76819,                0.81134,                0.84778,                0.61157,                0.97034,                0.74165,                 1.1728,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.1417,                0.89141,                  1.276,                0.83169,                0.83179,                0.87818,                0.63264,                0.94623,                 0.6721,                 1.1297,                0.00133,                0.00133,                0.00133
                     10,                 1.1155,                  0.874,                 1.2629,                0.82499,                0.83657,                0.87384,                0.63745,                0.92627,                0.66422,                 1.1361,              0.0013158,              0.0013158,              0.0013158
                     11,                  1.097,                0.84189,                 1.2498,                0.81454,                 0.7781,                0.84877,                0.63934,                0.89466,                 0.7125,                 1.1047,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.0857,                0.83629,                 1.2428,                0.80678,                0.81748,                0.85132,                0.62507,                0.89431,                0.68876,                 1.1159,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.1097,                0.82898,                 1.2595,                0.82817,                0.85104,                0.88048,                0.65432,                0.88231,                0.63927,                 1.0955,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.0713,                0.80161,                 1.2347,                0.81279,                0.82411,                0.86087,                0.61621,                0.92893,                0.67147,                 1.1324,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.0741,                0.80481,                 1.2338,                0.81745,                 0.8602,                0.88366,                 0.6552,                0.87425,                 0.6108,                  1.098,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.0678,                0.78867,                   1.23,                0.84964,                0.81856,                0.87739,                0.65898,                0.87168,                0.61371,                 1.0978,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.0538,                0.77541,                 1.2209,                0.82272,                 0.8413,                0.87823,                 0.6631,                0.85921,                0.61309,                 1.1028,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.0486,                0.76137,                 1.2263,                0.82555,                0.83144,                0.87534,                0.65305,                0.87224,                0.63544,                 1.1072,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.0382,                0.75988,                 1.2133,                0.83374,                0.86591,                0.88562,                0.66666,                0.85164,                0.59956,                 1.0976,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.0364,                0.74682,                 1.2109,                0.82685,                0.84678,                  0.887,                 0.6717,                0.85357,                0.58832,                 1.0828,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.0236,                0.74547,                  1.205,                0.84165,                0.83893,                0.88352,                0.66855,                0.83838,                0.57436,                 1.0723,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.0222,                0.73034,                 1.2059,                 0.8113,                0.85882,                0.88242,                0.67272,                0.84754,                0.58886,                 1.0829,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.0237,                0.72613,                 1.2113,                 0.8027,                0.85407,                0.87097,                0.67071,                0.82211,                0.57886,                 1.0791,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.0063,                0.71084,                 1.1892,                0.83976,                0.84399,                0.87844,                0.66632,                0.83794,                0.59152,                 1.0672,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.0244,                0.71498,                 1.2009,                0.81529,                0.86783,                 0.8815,                0.67506,                0.81771,                0.57292,                 1.0649,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.0016,                0.70528,                 1.1887,                0.82491,                0.85004,                0.87998,                0.67544,                0.83006,                0.57004,                 1.0707,              0.0010895,              0.0010895,              0.0010895
                     27,                0.99356,                0.69894,                 1.1884,                0.85806,                0.82998,                 0.8885,                0.68065,                0.83332,                 0.5509,                 1.0877,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.0017,                0.69747,                 1.1903,                0.84231,                0.85467,                0.89782,                0.69075,                0.81598,                0.54794,                 1.0623,              0.0010612,              0.0010612,              0.0010612
                     29,                0.99025,                0.68237,                 1.1828,                0.86021,                0.85835,                0.90491,                0.68427,                0.83138,                0.55229,                 1.0722,               0.001047,               0.001047,               0.001047
                     30,                 0.9776,                0.67822,                 1.1736,                0.84214,                 0.8673,                0.89362,                0.68668,                0.82107,                0.54061,                 1.0707,              0.0010329,              0.0010329,              0.0010329
                     31,                0.98333,                0.67938,                 1.1725,                0.86892,                0.84589,                0.90113,                0.70759,                0.78491,                0.53406,                 1.0401,              0.0010187,              0.0010187,              0.0010187
                     32,                0.96956,                0.66662,                 1.1679,                 0.8418,                0.85461,                0.89635,                0.69731,                0.80057,                0.54031,                  1.064,              0.0010046,              0.0010046,              0.0010046
                     33,                0.96916,                0.65593,                 1.1647,                 0.8453,                0.87454,                0.89509,                0.69521,                0.80518,                0.51954,                 1.0604,             0.00099044,             0.00099044,             0.00099044
                     34,                0.96065,                0.65606,                 1.1624,                0.84338,                0.87031,                0.89252,                0.69159,                0.80627,                0.51967,                 1.0633,             0.00097629,             0.00097629,             0.00097629
                     35,                0.96389,                0.65318,                 1.1653,                0.84841,                0.85666,                0.89665,                 0.6993,                0.79815,                0.51799,                 1.0573,             0.00096215,             0.00096215,             0.00096215
