                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2587,                 1.9984,                  1.659,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.072673,              0.0036139,              0.0036139
                      2,                 1.2332,                 1.7275,                 1.6484,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.045035,              0.0069986,              0.0069986
                      3,                 1.1828,                 1.5744,                  1.603,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.017157,               0.010144,               0.010144
                      4,                 1.1248,                 1.4634,                 1.5523,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010524,               0.010524,               0.010524
                      5,                 1.0947,                 1.3903,                  1.528,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010524,               0.010524,               0.010524
                      6,                 1.0696,                 1.3251,                 1.4988,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010139,               0.010139,               0.010139
                      7,                 1.0381,                 1.2654,                  1.479,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097535,              0.0097535,              0.0097535
                      8,                 1.0198,                  1.226,                 1.4554,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0093682,              0.0093682,              0.0093682
                      9,                 0.9845,                 1.1593,                 1.4162,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0089829,              0.0089829,              0.0089829
                     10,                0.95757,                 1.1253,                 1.3943,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0085976,              0.0085976,              0.0085976
                     11,                0.93838,                 1.0927,                 1.3821,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082123,              0.0082123,              0.0082123
                     12,                 0.9224,                 1.0791,                 1.3647,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007827,               0.007827,               0.007827
                     13,                0.92604,                 1.0618,                 1.3672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0074417,              0.0074417,              0.0074417
                     14,                0.89598,                 1.0191,                 1.3409,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0070564,              0.0070564,              0.0070564
                     15,                0.89135,                 1.0154,                 1.3382,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066711,              0.0066711,              0.0066711
                     16,                0.89055,                0.99499,                 1.3303,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062857,              0.0062857,              0.0062857
                     17,                 0.8696,                0.95613,                 1.3081,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0059004,              0.0059004,              0.0059004
                     18,                0.85857,                0.94253,                 1.3048,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055151,              0.0055151,              0.0055151
                     19,                0.84583,                0.94013,                 1.2889,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0051298,              0.0051298,              0.0051298
                     20,                0.83698,                0.91221,                 1.2874,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047445,              0.0047445,              0.0047445
                     21,                0.80586,                0.79224,                 1.2623,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043592,              0.0043592,              0.0043592
                     22,                 0.7876,                0.75916,                 1.2502,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039739,              0.0039739,              0.0039739
                     23,                0.78157,                0.74238,                 1.2356,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035886,              0.0035886,              0.0035886
                     24,                0.76819,                0.72164,                 1.2298,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032033,              0.0032033,              0.0032033
                     25,                0.75659,                0.70228,                 1.2152,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002818,               0.002818,               0.002818
                     26,                0.74771,                0.68234,                 1.2042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024327,              0.0024327,              0.0024327
                     27,                0.73249,                0.66367,                 1.1868,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020474,              0.0020474,              0.0020474
                     28,                0.72274,                0.64659,                  1.183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016621,              0.0016621,              0.0016621
                     29,                0.71585,                0.63481,                  1.175,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012768,              0.0012768,              0.0012768
                     30,                0.69928,                0.62123,                 1.1589,                0.85795,                0.88637,                 0.9107,                0.70657,                0.62459,                0.58421,                 1.0817,              0.0008915,              0.0008915,              0.0008915
