                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5021,                 2.2856,                 1.9119,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.061731,                0.00511,                0.00511
                      2,                 1.5055,                  2.102,                 1.8981,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.022719,              0.0099338,              0.0099338
                      3,                 1.4621,                  1.966,                 1.8382,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  0.011,                  0.011,                  0.011
                      4,                 1.4345,                 1.8799,                 1.7976,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  0.011,                  0.011,                  0.011
                      5,                 1.3995,                 1.7606,                 1.7656,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01061,                0.01061,                0.01061
                      6,                 1.3763,                  1.669,                 1.7219,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01022,                0.01022,                0.01022
                      7,                 1.3606,                 1.6247,                 1.6869,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098302,              0.0098302,              0.0098302
                      8,                 1.3285,                  1.575,                 1.6768,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0094403,              0.0094403,              0.0094403
                      9,                 1.3115,                 1.5087,                 1.6411,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0090503,              0.0090503,              0.0090503
                     10,                 1.2951,                 1.4644,                 1.6218,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0086604,              0.0086604,              0.0086604
                     11,                 1.2774,                 1.4127,                 1.6127,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082704,              0.0082704,              0.0082704
                     12,                  1.282,                  1.384,                 1.5964,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0078805,              0.0078805,              0.0078805
                     13,                 1.2841,                 1.3388,                 1.5878,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0074905,              0.0074905,              0.0074905
                     14,                 1.2449,                 1.3291,                 1.5655,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0071006,              0.0071006,              0.0071006
                     15,                 1.2573,                 1.3536,                 1.5621,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067106,              0.0067106,              0.0067106
                     16,                 1.2278,                 1.2903,                 1.5527,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063207,              0.0063207,              0.0063207
                     17,                 1.2389,                 1.2492,                 1.5461,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0059307,              0.0059307,              0.0059307
                     18,                 1.2008,                 1.2339,                 1.5179,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055407,              0.0055407,              0.0055407
                     19,                 1.2145,                 1.2006,                 1.5251,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0051508,              0.0051508,              0.0051508
                     20,                 1.2086,                 1.1806,                 1.5035,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047608,              0.0047608,              0.0047608
                     21,                 1.2061,                 1.1058,                 1.5249,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043709,              0.0043709,              0.0043709
                     22,                 1.1887,                  1.081,                 1.5048,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039809,              0.0039809,              0.0039809
                     23,                 1.1867,                 1.0344,                 1.4933,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003591,               0.003591,               0.003591
                     24,                 1.1782,                0.99417,                 1.4852,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003201,               0.003201,               0.003201
                     25,                 1.1626,                 0.9785,                 1.4705,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028111,              0.0028111,              0.0028111
                     26,                 1.1573,                0.97879,                 1.4621,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024211,              0.0024211,              0.0024211
                     27,                 1.1215,                0.91573,                 1.4396,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020312,              0.0020312,              0.0020312
                     28,                 1.1264,                0.88991,                 1.4359,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016412,              0.0016412,              0.0016412
                     29,                 1.1073,                0.85869,                 1.4205,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012513,              0.0012513,              0.0012513
                     30,                 1.1033,                0.84556,                 1.4069,                0.74594,                0.62917,                0.66273,                 0.3997,                 1.0514,                0.97636,                 1.4219,             0.00086131,             0.00086131,             0.00086131
